id,name,count,bounding_box_accuracy,label_accuracy
1,¥kland,70,0.6538461538461539,0.0
2,AJ,137,0.7272727272727273,0.7272727272727273
3,Altibox,331,0.2692307692307692,0.2692307692307692
4,bama,298,0.7704918032786885,0.7704918032786885
5,Borregaard,224,0.5217391304347826,0.5217391304347826
6,bouvet,183,0.8222222222222222,0.8222222222222222
7,Cegal,57,0.8518518518518519,0.7407407407407407
8,Consto,130,0.4782608695652174,0.4347826086956521
9,coop,1331,0.4102564102564102,0.3333333333333333
10,DNB,379,0.5709219858156028,0.5638297872340425
11,Equinor,91,0.7428571428571429,0.7142857142857143
12,fjordkraft,171,0.9565217391304348,0.9565217391304348
13,Frydenb¢,239,0.1904761904761904,0.0714285714285714
14,gjensidige,57,0.4,0.3
15,Kiwi,324,0.2222222222222222,0.1111111111111111
16,Lyse,384,0.7142857142857143,0.6938775510204082
17,NorskTipping,422,0.9390243902439024,0.8902439024390244
18,OBOS,975,0.7636363636363637,0.7636363636363637
19,Santander,0,0.8013245033112583,0.7880794701986755
20,Pretec,369,,
21,Scandic,333,0.8125,0.8
22,Sparebank1 group,64,0.9473684210526316,0.9473684210526316
23,Sparebank1NordNorge,296,0.7333333333333333,0.7333333333333333
24,SpareBank1SMN,271,0.2857142857142857,0.0
25,Sparebanken M¢re,442,0.903846153846154,0.8653846153846154
26,SparebankenVest,121,0.9464285714285714,0.9107142857142856
27,SpareBankSR,26,0.8367346938775511,0.8061224489795918
28,sundolitt,139,0.5625,0.5
29,Telenor,143,0.2,0.0
30,Tine,108,0.9285714285714286,0.8928571428571429
31,Vaerste,92,0.25,0.0
32,vanpee,157,0.3888888888888889,0.1666666666666666
