name,bounding_box_accuracy,label_accuracy
bama,0.7704918032786885,0.7704918032786885
Santander,0.8013245033112583,0.7880794701986755
Sparebank1NordNorge,0.7333333333333333,0.7333333333333333
SparebankenVest,0.9464285714285714,0.9107142857142857
bouvet,0.8222222222222222,0.8222222222222222
Scandic,0.8125,0.8
sundolitt,0.5625,0.5
DNB,0.5709219858156028,0.5638297872340425
Sparebanken M¢re,0.9038461538461539,0.8653846153846154
Cegal,0.8518518518518519,0.7407407407407407
coop,0.41025641025641024,0.3333333333333333
SpareBankSR,0.8367346938775511,0.8061224489795918
Frydenb¢,0.19047619047619047,0.07142857142857142
Equinor,0.7428571428571429,0.7142857142857143
vanpee,0.3888888888888889,0.16666666666666666
AJ,0.7272727272727273,0.7272727272727273
OBOS,0.7636363636363637,0.7636363636363637
NorskTipping,0.9390243902439024,0.8902439024390244
Sparebank1 group,0.9473684210526315,0.9473684210526315
Tine,0.9285714285714286,0.8928571428571429
¥kland,0.6538461538461539,0.0
Lyse,0.7142857142857143,0.6938775510204082
gjensidige,0.4,0.3
SpareBank1SMN,0.2857142857142857,0.0
Vaerste,0.25,0.0
Kiwi,0.2222222222222222,0.1111111111111111
Telenor,0.2,0.0
Borregaard,0.5217391304347826,0.5217391304347826
Consto,0.4782608695652174,0.43478260869565216
fjordkraft,0.9565217391304348,0.9565217391304348
Altibox,0.2692307692307692,0.2692307692307692

